#index star_template_index magnitude RA DEC
0 154.0 19.5 9.507928202317538 0.983003892794292
1 127.0 19.0 9.54673543754793 0.9717192979179745
2 128.0 15.0 9.488086378339974 0.9655543221407391
3 128.0 15.0 9.439632898601513 0.944374056180302
4 128.0 16.0 9.499583812369366 0.9606524414031248
5 128.0 17.0 9.513320737369696 0.9636998000905994
6 128.0 17.5 9.540207917672529 0.9585871018202958
7 128.0 18.5 9.489255022153765 0.91584321134939
8 128.0 19.5 9.482972675540687 0.9352205874607993
9 128.0 20.5 9.497271386016617 0.9690644282333007
10 128.0 20.5 9.544920448347982 0.9521873510292512
11 128.0 22.0 9.536621400002705 0.9802301689020753
12 128.0 22.5 9.455925442392227 0.9492959000886563
13 129.0 16.5 9.456253996709275 0.9862273104009015
14 129.0 19.0 9.481764400312116 0.938277419343186
15 129.0 20.0 9.521693919774206 0.92844677241114
16 129.0 20.0 9.431395411352527 0.9590952267056381
17 129.0 21.0 9.495098719023078 0.900532585508037
18 129.0 21.5 9.524673660633228 0.999100288838887
19 129.0 22.0 9.486399160624469 0.9419950226986649
20 129.0 22.0 9.420879957367834 0.9688522101380326
21 129.0 22.5 9.528506418069895 0.9540269273675327
22 129.0 22.5 9.49878021962146 0.9239806644596429
23 129.0 22.5 9.371572540870416 0.999158601878339
24 129.0 23.0 9.466957678495442 0.9247541325811821
25 129.0 23.0 9.397405850879965 0.9942534095708002
26 129.0 23.0 9.511652951340158 0.9828344664171909
27 129.0 23.5 9.475303294638836 0.9157326224744416
28 129.0 23.5 9.569460928505942 0.9958125908807958
29 129.0 23.5 9.437276834132518 0.9617810276191577
30 129.0 23.5 9.516925508880444 0.9766553137774475
31 129.0 23.5 9.494508582990882 0.9553781313351717
32 129.0 24.0 9.41527304518803 0.9619969601623044
33 129.0 24.0 9.516984361122528 0.9872867222047591
34 129.0 24.0 9.536842901662954 0.9822056228447908
35 130.0 16.5 9.468073675060394 0.9586901178380803
36 130.0 17.5 9.479521552134406 0.935561486544702
37 130.0 17.5 9.486879438636697 0.9162571774606747
38 130.0 17.5 9.431961090157047 0.988490625091329
39 130.0 19.5 9.479932731600616 0.9913300655662088
40 130.0 19.5 9.512770179193044 0.9676822945192136
41 130.0 21.0 9.413233534713514 0.980324679336111
42 130.0 21.0 9.530437417654642 0.9646238645091594
43 130.0 21.0 9.492709559859517 0.989573706705221
44 130.0 21.0 9.512712130846944 0.9163761536449351
45 130.0 21.5 9.474841194621195 0.9854091907436411
46 130.0 21.5 9.460120584303647 0.999398383302394
47 130.0 21.5 9.531593634494719 0.9900471387240675
48 130.0 21.5 9.508370255774084 0.9569393901618158
49 130.0 22.0 9.57706942534514 0.9837414365680074
50 130.0 22.0 9.415308034629536 0.9666227159373217
51 130.0 22.0 9.508186705344393 0.9386758819807063
52 130.0 22.0 9.52692162446423 0.9872331181512206
53 130.0 22.0 9.394487755523313 0.9966285984226024
54 130.0 22.0 9.530363043448473 0.9648499212204066
55 130.0 22.0 9.478013873309308 0.9718850954274427
56 130.0 22.0 9.418076726241678 0.9996719978263832
57 130.0 22.0 9.527861916576077 0.96067376941113
58 130.0 22.0 9.48955451245643 0.976884531552001
59 130.0 22.5 9.489242645790267 0.9916071796902861
60 130.0 22.5 9.489453854235428 0.9047761344049368
61 130.0 22.5 9.48425533343129 0.9761931542854129
